regione_codice,regione,codice_soggetti_questionari,denominazione_soggetti_questionari,n_attori,attori,n_file,files
09,Toscana,18,Procura Ordinaria/Tribunale/Corte d'appello,17,Corte d'Appello di Firenze | Procura Generale della Repubblica presso la Corte d'Appello di Firenze | Procura della Repubblica di Firenze | Procura della Repubblica di Massa | Procura della Repubblica di Pistoia | Procura della Repubblica di Prato | Procura della Repubblica di Siena | Procura della Repubblica presso il Tribunale | Procura della Repubblica presso il Tribunale di Arezzo | Procura della Repubblica presso il Tribunale di Massa | Procura della Repubblica presso il Tribunale ordinario | Procure della Repubblica presso il Tribunale del Distretto | Tribunale di Arezzo | Tribunale di Livorno | Tribunale di Massa | Tribunale di Pisa | Tribunale di Pistoia,8,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt | 09_APUANE_2015 Protocollo Prefettura.txt | 09_AREZZO Prot_2024-2026.txt | 09_GROSSETO 2022 fpdf.txt | 09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt | 09_PISA PREF E PROV.txt | 09_PISTOIA PROV .txt | 09_PRATO PREF.txt
09,Toscana,19,Ordine avvocati,2,CPO dell'Ordine degli Avvocati di Siena | Ordine degli Avvocati di Siena,1,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt
09,Toscana,22,"Altri ordini professionali (infermieri, ostetriche, giornalisti, commercialisti, ecc.)",1,Ordine dei Dottori Commercialisti e degli Esperti Contabili di Siena,1,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt
09,Toscana,23,Organismi di parità,8,Centro Pari Opportunità Valdelsa | Centro Pari Opportunità Valdichiana | Comitato Pari Opportunita dell'Ordine dei Dottori Commercialisti e degli Esperti Contabili di Siena | Consigliera Provinciale di Parità | Consigliera di Parità della Provincia di Livorno | Consigliera di Parità della Provincia di Pisa | Consigliera di Parità di Lucca | Ufficio delle Consigliere di Parità per la Provincia di Arezzo,6,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt | 09_AREZZO Prot_2024-2026.txt | 09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt | 09_LUCCA PROV.txt | 09_PISA PREF E PROV.txt | 09_VALDICHIANA_all. decreto 37_2008 protocollo di intesa 2008.txt
09,Toscana,24,Ente terzo settore - ETS (iscritto al RUNTS)[1],17,Alice Cooperativa Sociale | Arnera Società Cooperativa Sociale | Associazione A.R.P.A | Associazione Amica Donna | Associazione Atelier Vantaggio Donna | Associazione C.LF | Associazione Donne In Movimento | Associazione Eunice | Associazione LUI APS | Associazione Le Amiche di Mafalda | Associazione Olympia de Gouges | Associazione P.A. Humanitas | Associazione Psicosfera | Associazione Randi APS | Associazioni del Terzo Settore | Comitato Regionale | Ippogrifo APS,9,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt | 09_APUANE_2015 Protocollo Prefettura.txt | 09_GROSSETO 2022 fpdf.txt | 09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt | 09_LUCCA PROV.txt | 09_PISA PREF E PROV.txt | 09_PRATO PREF.txt | 09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt | 09_VALDICHIANA_all. decreto 37_2008 protocollo di intesa 2008.txt
09,Toscana,26,Servizi per l'impiego,2,ARTI Servizi per il Lavoro di GR-LI | Centro per l'Impiego di Livorno,1,09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt
09,Toscana,27,Sindacati/Associazioni di categoria,8,Ascom | CGIL Provinciale | CIA | CISL Provinciale | Confesercenti | Federalberghi | UGL Provinciale | UIL Provinciale,2,09_GROSSETO 2022 fpdf.txt | 09_PISTOIA PROV .txt
09,Toscana,28,Università,2,Università degli Studi di Firenze | Università degli Studi di Pisa,2,09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt | 09_PISA PREF E PROV.txt
09,Toscana,29,"Associazioni che si occupano di programmi di prevenzione, recupero e trattamento per uomini maltrattanti",4,CAM Centro Uomini Maltrattanti | CAM Firenze | Centro di Ascolto Uomini Maltrattanti | Nuovo Maschile. Uomini liberi dalla violenza,4,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt | 09_FIRENZE Linee-di-indirizzo2024.txt | 09_PISA PREF E PROV.txt | 09_PRATO PREF.txt
09,Toscana,30,Altro,29,365giornialfemmile | AIED | Articolazioni zonali delle conferenze dei sindaci del territorio provinciale | CAM | CISMAI – Coordinamento Italiano dei Servizi contro il Maltrattamento e l'Abuso all'Infanzia | Centro di Ascolto CIF di Carrara | Codice Rosa | Comitato di Area Vasta | Direzione Diritti di cittadinanza e coesione sociale | European Society Stress Traumatic Studies | Filiale di Livorno della Banca d'Italia | Fiorentina Nord Ovest: Codice Rosa | Fiorentina Sud Est: Codice Rosa | Giudice tutelare | Gruppo di lavoro Tavolo Privacy di Regione Toscana | Istituto di assistenza pubblico privato | Magistratura di Sorveglianza | Mugello: Codice Rosa | Osservatorio Sociale Regionale | Polizia provinciale | Punto di Ascolto territoriale di Arcidosso | Punto di Ascolto territoriale di Capalbio | Punto di Ascolto territoriale di Follonica | Punto di Ascolto territoriale di Manciano | Punto di ascolto territoriale di Grosseto | Rete Regionale Codice Rosa | SERD | SMA | SSR,8,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt | 09_APUANE_2015 Protocollo Prefettura.txt | 09_FIRENZE Linee-di-indirizzo2024.txt | 09_GROSSETO 2022 fpdf.txt | 09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt | 09_PISA PREF E PROV.txt | 09_PISTOIA PROV .txt | 09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt
